Date;Joueur;Scores;Sets joues;Sets gagnes;Sets perdus;Developpement;Points
06/11/2021 22:59;PLN;0;30;4;26;20;916
06/11/2021 22:59;KRa;3;74;66;8;10;1212
07/11/2021 20:53;KRa;3;77;69;8;10;1217
07/11/2021 20:53;Mateos;0;68;25;43;20;1010
08/11/2021 18:48;KRa;3;82;72;10;10;1206
08/11/2021 18:48;Mateos;2;73;27;46;20;1033
09/11/2021 16:43;KRa;3;86;75;11;10;1205
09/11/2021 16:43;Mateos;1;77;28;49;20;1036
10/11/2021 14:37;KRa;1;87;76;11;10;1207
10/11/2021 14:37;Mateos;0;78;28;50;20;1032
11/11/2021 12:32;Colas;3;24;19;5;40;1097
11/11/2021 12:32;Sutter;0;34;8;26;20;826
12/11/2021 10:27;Colas;2;27;21;6;40;1071
12/11/2021 10:27;Sutter;1;37;9;28;20;839
13/11/2021 08:22;Sutter;3;41;12;29;20;865
13/11/2021 08:22;LL;1;42;14;28;20;857
14/11/2021 06:16;Mateos;3;81;31;50;20;1045
14/11/2021 06:16;Sutter;0;44;12;32;20;852
15/11/2021 04:11;Colas;2;30;23;7;20;1079
15/11/2021 04:11;Gessien;1;26;13;13;40;1012
16/11/2021 02:06;Colas;2;32;25;7;20;1084
16/11/2021 02:06;Sutter;0;46;12;34;20;847
17/11/2021 00:00;Colas;2;34;27;7;20;1089
17/11/2021 00:00;LL;0;44;14;30;20;852
17/11/2021 21:55;KRa;3;90;79;11;10;1215
17/11/2021 21:55;Colas;0;37;27;10;20;1072
18/11/2021 19:50;Slo;0;3;0;3;40;981
18/11/2021 19:50;KRa;3;93;82;11;10;1219
19/11/2021 17:45;Slo;0;6;0;6;40;965
19/11/2021 17:45;KRa;3;96;85;11;10;1223
20/11/2021 15:39;Slo;0;9;0;9;40;951
20/11/2021 15:39;KRa;3;99;88;11;10;1226
21/11/2021 13:34;KRa;3;102;91;11;10;1231
21/11/2021 13:34;Mateos;0;84;31;53;20;1034
22/11/2021 11:29;KRa;3;105;94;11;10;1236
22/11/2021 11:29;Mateos;0;87;31;56;20;1024
23/11/2021 09:24;KRa;3;109;97;12;10;1233
23/11/2021 09:24;Mateos;1;91;32;59;20;1030
24/11/2021 07:18;KRa;1;110;98;12;10;1234
24/11/2021 07:18;Mateos;0;92;32;60;20;1027
25/11/2021 05:13;Mateos;3;97;35;62;20;1017
25/11/2021 05:13;PLN;2;35;6;29;20;926
26/11/2021 03:08;Marin;3;41;17;24;20;965
26/11/2021 03:08;Pele;3;6;3;3;40;980
27/11/2021 01:02;Colas;3;41;30;11;20;1083
27/11/2021 01:02;Mateos;1;101;36;65;20;1006
27/11/2021 22:57;Colas;0;44;30;14;20;1045
27/11/2021 22:57;Mateos;3;104;39;65;20;1044
28/11/2021 20:52;Colas;0;47;30;17;20;1015
28/11/2021 20:52;Mateos;3;107;42;65;20;1074
29/11/2021 18:47;Alice;2;13;7;6;40;989
29/11/2021 18:47;Colas;2;51;32;19;20;1010
30/11/2021 16:41;Alice;0;15;7;8;40;979
30/11/2021 16:41;KRa;2;112;100;12;10;1236
01/12/2021 14:36;Colas;1;53;33;20;20;1024
01/12/2021 14:36;KRa;1;114;101;13;10;1229
02/12/2021 12:31;Sutter;3;51;15;36;20;885
02/12/2021 12:31;Gessien;2;31;15;16;20;936
